topic,ans_high,ans_low,ans_high_len,ans_low_len
https://sp.bokete.jp/odai/6654590,「実況！パワフルプロ野球！」と聞こえてきた,ぐらさんいつの間にか帰ってきてる！？,21,18
https://sp.bokete.jp/odai/6655155,阿？,ほっとけ,2,4
https://sp.bokete.jp/odai/6655211,／らっしゃい＼,一瞬で手が日焼けした,7,10
https://sp.bokete.jp/odai/6654667,似合ってないし35にも見えない,ジーンズ業界から大クレーム,15,13
https://sp.bokete.jp/odai/6654949,「服を着ろ」と怒られる,③ぬいぐるみを戻す,11,9
https://sp.bokete.jp/odai/6654690,ダサい,事故っても妖怪のせい,3,10
https://sp.bokete.jp/odai/6654751,僕もです,ネットに晒します,4,8
https://bokete.jp/odai/6655820,どのこんもり左折だっけなぁ,すぐ後ろのコンビニに気づかずに絶望する人,13,20
https://bokete.jp/odai/6655847,またどっかの誰かの「いたいのいたいの」が飛んできた,生え際に全集中　食い止めて見せる,25,16
https://bokete.jp/odai/6655683,お薬,カマキリの卵を靴に隠すこと,2,13
https://bokete.jp/odai/6655522,中々ゲームを変わってくれない,男優争い,14,4
https://bokete.jp/odai/6655925,体の関係を求めてくる,法律に詳しい,10,6
https://bokete.jp/odai/6656008,著　やなせたかし,なんとパンを食べた方の99%が100年以内に死亡する事実が判明しました！,8,36
https://bokete.jp/odai/6656078,このボケは面白くありません,永遠の０（逆殿堂いり）,13,11
https://bokete.jp/odai/6656018,プリキュア,ぜる,5,2
https://bokete.jp/odai/6655576,かわいい。,あの人の言ってる事、たまに分からないんです,5,21
https://bokete.jp/odai/6656419,一本 VS 一万個,白骨温泉ができる,9,8
https://bokete.jp/odai/6655992,ニチレクの上のビーチク,ゼッケンになりたい,11,9
https://bokete.jp/odai/6656171,?UHA味覚党,n酷党,7,3
https://bokete.jp/odai/6655975,おい！虹で加工されてんだから分かるだろ！！紙をくれ！！！,後は俺の息子に託したから、桃さんはまだこっち来んじゃねーぞ,28,29
https://bokete.jp/odai/6656863,で、帰りは誰が運転するんだ？,やっぱり荷台で呑む酒はうまいなぁ!,14,17
https://bokete.jp/odai/6656153,湿気ってくっついたおかき,ロマンシング・サガして俺達の体,12,15
https://bokete.jp/odai/6656005,auなのに繋がる…！,ZOOM会議に入りっぱなしだった,10,16
https://bokete.jp/odai/6655627,マーベル新ヒーローMAMKO MAN,金魚のフンの妖精,18,8
https://bokete.jp/odai/6656139,バカヤロ！嫁からの何回もの電話出れなくて浮気って疑ってんぞ！,転んでもいいよ また立ち上がればいい　ただそれだけ できればauさ,30,33
https://bokete.jp/odai/6656455,紛失していた店のカギが見つかりました,壊れた鍵の部品を探す旅にでます,18,15
